date,vchbv,vc4om,vcVP5,vc6YE,vchA3,vccaA,vcTJs,vcvlY,vcSoL,vcMod,vcpDC,vc3sl,vc8Sj,vcJLV,vcLJZ,vcIya,vcJkd,vcdI0,vcira,vcgkz,vcxS0,vc7hD,vcXrB,vcvcM,vcp4O,total
2020-04-01,112,0,0,128,0,32,48,96,32,0,56,0,48,16,64,0,16,16,24,8,0,0,80,0,8,784
2020-04-02,112,0,0,128,0,32,48,96,32,0,56,0,48,16,64,0,16,16,24,8,0,0,80,0,8,784
2020-04-03,112,0,0,128,0,32,48,96,32,0,56,0,48,16,64,0,16,16,24,8,0,0,80,0,8,784
2020-04-04,112,0,0,128,0,32,48,96,32,0,56,0,48,16,64,0,16,16,24,8,0,0,80,0,8,784
2020-04-05,112,0,0,128,0,32,48,96,32,0,56,0,48,16,64,0,16,16,24,8,0,0,80,0,8,784
2020-04-06,112,0,0,128,0,32,48,96,32,0,56,0,48,16,64,0,16,16,24,8,0,0,80,0,8,784
2020-04-07,112,0,0,208,0,32,48,96,32,0,56,0,48,16,64,0,16,16,24,8,0,0,0,0,8,784
2020-04-08,112,0,0,208,0,32,48,96,32,0,56,0,48,16,64,0,16,16,24,8,0,0,0,0,8,784
2020-04-09,112,0,0,208,0,32,48,96,32,0,56,0,48,16,64,0,16,16,24,8,0,0,0,0,80,856
2020-04-10,112,0,0,208,0,32,48,96,32,80,56,0,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-11,112,0,0,208,0,32,48,96,32,80,56,0,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-12,112,0,0,208,0,32,48,96,32,80,56,0,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-13,112,0,0,208,0,32,48,96,32,80,56,0,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-14,112,0,0,208,0,32,48,96,32,80,56,0,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-15,112,0,0,208,0,32,48,96,32,64,56,0,48,16,64,0,16,16,24,8,0,0,0,0,0,840
2020-04-16,112,0,0,208,0,32,48,96,32,64,56,0,48,16,64,0,16,16,24,8,0,0,0,0,0,840
2020-04-17,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-18,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-19,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-20,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-21,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-22,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-23,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-24,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-25,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-26,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-27,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-28,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-29,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-04-30,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-01,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-02,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-03,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-04,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-05,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-06,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-07,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-08,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,840
2020-05-10,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-11,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-12,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-13,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-14,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-15,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
2020-05-16,64,0,0,208,0,32,48,96,32,64,56,64,48,16,64,0,16,16,24,8,0,0,0,0,0,856
